risk_budget,baseline,mean_gated_utility_diff,ci95_gated_utility_diff,paired_seed_wins
0.050000,chance_constrained_contact_mpc,0.000000,0.000000,0
0.050000,greedy_contact_planner,0.000000,0.000000,0
0.050000,oracle_contact_scheduler,-0.730979,0.009083,0
0.050000,proposed_contact_budget_controller_v4_1,0.000000,0.000000,0
0.050000,recovery_reserve_controller,0.000000,0.000000,0
0.050000,risk_aware_contact_planner,0.000000,0.000000,0
0.100000,chance_constrained_contact_mpc,0.910306,0.004171,10
0.100000,greedy_contact_planner,0.910306,0.004171,10
0.100000,oracle_contact_scheduler,-0.342463,0.004189,0
0.100000,proposed_contact_budget_controller_v4_1,0.858213,0.005709,10
0.100000,recovery_reserve_controller,0.910306,0.004171,10
0.100000,risk_aware_contact_planner,0.910306,0.004171,10
0.150000,chance_constrained_contact_mpc,0.944935,0.003231,10
0.150000,greedy_contact_planner,1.032674,0.000205,10
0.150000,oracle_contact_scheduler,-0.220095,0.000420,0
0.150000,proposed_contact_budget_controller_v4_1,0.184667,0.000274,10
0.150000,recovery_reserve_controller,0.510735,0.002077,10
0.150000,risk_aware_contact_planner,1.012166,0.002743,10
0.200000,chance_constrained_contact_mpc,0.416713,0.000263,10
0.200000,greedy_contact_planner,1.032674,0.000205,10
0.200000,oracle_contact_scheduler,-0.220095,0.000420,0
0.200000,proposed_contact_budget_controller_v4_1,0.184667,0.000274,10
0.200000,recovery_reserve_controller,0.321924,0.000369,10
0.200000,risk_aware_contact_planner,0.449248,0.001033,10
