method,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_budget_violation_rate,ci95_budget_violation_rate,mean_fall_rate,ci95_fall_rate,mean_balance_margin,ci95_balance_margin,mean_recovery_success,ci95_recovery_success,mean_energy_contact_cost,ci95_energy_contact_cost,mean_reserve_starvation_rate,ci95_reserve_starvation_rate,mean_contact_overuse_rate,ci95_contact_overuse_rate,mean_calibration_error,ci95_calibration_error,mean_conservatism_rate,ci95_conservatism_rate,mean_predicted_breach_risk,ci95_predicted_breach_risk,mean_realized_breach_risk,ci95_realized_breach_risk,n
cbf_safety_controller,0.562849,0.000978,0.336163,0.001788,0.178122,0.000363,0.160884,0.000398,0.533285,0.000244,0.426029,0.000265,0.275735,0.000115,0.188001,0.000535,0.116311,0.000308,0.083567,0.000117,0.134652,0.000126,0.197035,0.000424,0.195150,0.000413,3840
chance_constrained_contact_mpc,0.648880,0.000909,0.536052,0.001652,0.133218,0.000341,0.125682,0.000361,0.585562,0.000237,0.506578,0.000262,0.287953,0.000113,0.141380,0.000536,0.079482,0.000309,0.063876,0.000114,0.159800,0.000124,0.163485,0.000407,0.147665,0.000387,3840
dual_price_contact_budget_controller_v5,0.786405,0.000773,0.952997,0.001333,0.048096,0.000279,0.051253,0.000276,0.707845,0.000232,0.693905,0.000255,0.184590,0.000115,0.039716,0.000534,0.024526,0.000309,0.030128,0.000114,0.080379,0.000119,0.084157,0.000351,0.053778,0.000319,3840
fixed_contact_quota,0.485090,0.001267,0.054994,0.002268,0.277505,0.000420,0.265922,0.000544,0.431458,0.000257,0.368626,0.000274,0.195467,0.000113,0.229005,0.000536,0.185011,0.000306,0.117635,0.000116,0.078616,0.000132,0.272217,0.000486,0.295090,0.000499,3840
greedy_contact_planner,0.409565,0.001457,-0.238393,0.002603,0.396460,0.000503,0.339727,0.000635,0.363622,0.000263,0.301673,0.000279,0.184980,0.000116,0.287736,0.000534,0.292098,0.000308,0.150637,0.000119,0.028214,0.000137,0.358133,0.000547,0.396925,0.000570,3840
learned_residual_contact_policy,0.588731,0.001126,0.286775,0.002063,0.234497,0.000417,0.221906,0.000488,0.489757,0.000251,0.479643,0.000268,0.222635,0.000114,0.170665,0.000535,0.159135,0.000307,0.109060,0.000116,0.047051,0.000129,0.226527,0.000472,0.244840,0.000473,3840
no_budget_planner,0.320004,0.001177,-0.291137,0.002174,0.364144,0.000466,0.291448,0.000498,0.307650,0.000254,0.240315,0.000269,0.152293,0.000114,0.323271,0.000535,0.268688,0.000308,0.144558,0.000117,0.030544,0.000130,0.323434,0.000465,0.369817,0.000496,3840
oracle_contact_scheduler,0.885672,0.000717,1.172512,0.001096,0.007882,0.000216,0.012039,0.000232,0.781011,0.000224,0.768895,0.000251,0.152447,0.000107,0.016054,0.000460,0.002287,0.000144,0.015557,0.000113,0.063417,0.000115,0.051356,0.000282,0.013721,0.000243,3840
proposed_contact_budget_controller_v4_1,0.724155,0.000827,0.767951,0.001468,0.092376,0.000304,0.087436,0.000312,0.645547,0.000235,0.630242,0.000259,0.214874,0.000114,0.079308,0.000534,0.055305,0.000306,0.049712,0.000115,0.087644,0.000121,0.115631,0.000372,0.099175,0.000349,3840
recovery_reserve_controller,0.675191,0.000895,0.630611,0.001613,0.125798,0.000335,0.114454,0.000348,0.600213,0.000238,0.588041,0.000264,0.232211,0.000113,0.096134,0.000535,0.084693,0.000307,0.065623,0.000115,0.121632,0.000123,0.144830,0.000396,0.131342,0.000377,3840
risk_aware_contact_planner,0.638137,0.000955,0.506732,0.001723,0.147901,0.000345,0.142521,0.000378,0.555481,0.000241,0.512424,0.000263,0.246011,0.000114,0.137879,0.000535,0.098176,0.000307,0.073482,0.000116,0.095688,0.000125,0.169268,0.000412,0.162547,0.000397,3840
whole_body_mpc,0.568992,0.001076,0.306701,0.001944,0.200073,0.000376,0.193643,0.000445,0.511454,0.000244,0.444165,0.000270,0.248826,0.000114,0.178228,0.000534,0.144462,0.000308,0.093130,0.000117,0.071005,0.000128,0.209726,0.000445,0.218939,0.000439,3840
